Object,Start,End,Volume,
TB1_T2Cell01_Nmito189_LES,103,129,0.302279,
TB1_T2Cell01_Nmito190_LES,96,115,0.104425,
TB1_T2Cell01_Nmito191_LES,108,124,0.0627615,
TB1_T2Cell01_Nmito192_LES,114,126,0.213183,
TB1_T2Cell01_Nmito193_LES,98,123,0.501252,
TB1_T2Cell01_Nmito194_LES,100,116,0.153061,
TB1_T2Cell01_Nmito195_LES,102,117,0.162287,
TB1_T2Cell01_Nmito196_LES,104,119,0.233574,
TB1_T2Cell01_Nmito197_LES,118,122,0.0705801,
TB1_T2Cell01_Nmito198_LES,122,125,0.0220226,
TB1_T2Cell01_Nmito199_LES,124,125,0.0202488,
TB1_T2Cell01_Nmito200_LES,106,116,0.091951,
TB1_T2Cell01_Nmito201_LES,102,115,0.101305,
TB1_T2Cell01_Nmito202_LES,107,120,0.109403,
TB1_T2Cell01_Nmito203_LES,100,115,0.288127,
TB1_T2Cell01_Nmito204_LES,97,115,0.121322,
TB1_T2Cell01_Nmito205_LES,97,101,0.0162162,
TB1_T2Cell01_Nmito206_LES,100,104,0.0436019,
TB1_T2Cell01_Nmito207_LES,99,123,0.686452,
TB1_T2Cell01_Nmito209_LES,112,119,0.108773,
TB1_T2Cell01_Nmito210_LES,105,111,0.0522259,
TB1_T2Cell01_Nmito211_LES,106,113,0.0560763,
TB1_T2Cell01_Nmito212_LES,116,133,0.0888864,
TB1_T2Cell01_Nmito213_LES,116,124,0.161759,
TB1_T2Cell01_Nmito214_LES,120,125,0.0468602,
TB1_T2Cell01_Nmito215_LES,114,121,0.114229,
TB1_T2Cell01_Nmito216_LES,106,122,0.249215,
TB1_T2Cell01_Nmito217_LES,108,123,0.206784,
TB1_T2Cell01_Nmito218_LES,118,122,0.0959513,
Tb1_T2Cell01_Nmito219_LES,119,125,0.173303,
TB1_T2Cell01_Nmito220_LES,124,126,0.081815,
TB1_T2Cell01_Nmito221_LES,122,125,0.0557055,
TB1_T2Cell01_Nmito222_LES,116,132,0.161668,
TB1_T2Cell01_Nmito223_LES,126,131,0.0533562,
TB1_T2Cell01_Nmito224_LES,131,137,0.0333518,
TB1_T2Cell01_Nmito225_LES,137,145,0.0748294,
TB1_T2Cell01_Nmito226_LES,141,148,0.111347,
TB1_T2Cell01_Nmito227_LES,143,150,0.125533,
TB1_T2Cell01_Nmito228_LES,142,152,0.0663497,
TB1_T2Cell01_Nmito229_LES,144,146,0.0456694,
TB1_T2Cell01_Nmito230_LES,140,150,0.11892,
TB1_T2Cell01_Nmito231_LES,146,158,0.228717,
TB1_T2Cell01_Nmito232_LES,151,162,0.11281,
TB1_T2Cell01_Nmito233_LES,116,121,0.0254112,
TB1_T2Cell01_Nmito234_LES,105,136,0.253056,
TB1_T2Cell01_Nmito235_LES,66,150,0.733792,
TB1_T2Cell01_Nmito236_LES,59,77,0.148875,
TB1_T2Cell01_Nmito237_LES,66,109,0.256773,
TB1_T2Cell01_Nmito238_LES,93,101,0.0758663,
TB1_T2Cell01_Nmito239_LES,48,56,0.127492,
TB1_T2Cell01_Nmito240_LES,26,41,0.176859,
TB1_T2Cell01_Nmito241_LES,25,37,0.181411,
TB1_T2Cell01_Nmito242_LES,37,43,0.0529139,
TB1_T2Cell01_Nmito243_LES,29,37,0.0907642,
TB1_T2Cell01_Nmito244_LES,34,45,0.0606036,
TB1_T2Cell01_Nmito245_LES,40,50,0.103847,
TB1_T2Cell01_Nmito246_LES,42,45,0.0723905,
TB1_T2Cell01_Nmito247_LES,42,59,0.12066,
TB1_T2Cell01_Nmito248_LES,30,51,0.227111,
TB1_T2Cell01_Nmito249_LES,46,55,0.0506793,
TB1_T2Cell01_Nmito250_LES,49,72,0.148641,
TB1_T2Cell01_Nmito251_LES,59,75,0.0794146,
TB1_T2Cell01_Nmito252_LES,64,71,0.0610835,
TB1_T2Cell01_Nmito253_LES,68,85,0.167949,
TB1_T2Cell01_Nmito254_LES,56,76,0.15137,
TB1_T2Cell01_Nmito255_LES,72,123,0.218276,
TB1_T2Cell01_Nmito257_LES,136,144,0.0807132,
TB1_T2Cell01_Nmito258_LES,132,148,0.19368,
TB1_T2Cell01_Nmito259_LES,145,148,0.0201383,
TB1_T2Cell01_Nmito260_LES,139,152,0.187497,
TB1_T2Cell01_Nmito261_LES,150,152,0.0457307,
TB1_T2Cell01_Nmito262_LES,141,155,0.391338,
TB1_T2Cell01_Nmito263_LES,145,151,0.0532915,
TB1_T2Cell01_Nmito264_LES,131,138,0.216416,
TB1_T2Cell01_Nmito265_LES,128,138,0.152692,
TB1_T2Cell01_Nmito266_LES,129,136,0.10037,
TB1_T2Cell01_Nmito267_LES,135,152,0.262054,
TB1_T2Cell01_Nmito268_LES,153,164,0.0916999,
TB1_T2Cell01_Nmito269_LES,158,162,0.0593531,
TB1_T2Cell01_Nmito270_LES,160,165,0.0327322,
TB1_T2Cell01_Nmito271_LES,154,160,0.0745709,
TB1_T2Cell01_Nmito272_LES,125,157,0.149111,
TB1_T2Cell01_Nmito273_LES,117,149,0.226608,
TB1_T2Cell01_Nmito274_LES,143,150,0.098588,
TB1_T2Cell01_Nmito275_LES,137,146,0.185856,
TB1_T2Cell01_Nmito276_LES,142,149,0.05564,
TB1_T2Cell01_Nmito277_LES,95,113,0.151303,
TB1_T2Cell01_Nmito278_LES,110,121,0.104358,
TB1_T2Cell01_Nmito279_LES,87,108,0.354548,
TB1_T2Cell01_Nmito280_LES,99,116,0.0806305,
TB1_T2Cell01_Nmito281_LES,112,125,0.0454638,
TB1_T2Cell01_Nmito282_LES,111,118,0.0309259,
TB1_T2Cell01_Nmito283_LES,66,83,0.180797,
TB1_T2Cell01_Nmito284_LES,79,84,0.0470925,
TB1_T2Cell01_Nmito285_LES,73,91,0.0879279,
TB1_T2Cell01_Nmito286_LES,33,43,0.337949,
TB1_T2Cell01_Nmito287_LES,27,38,0.102538,
TB1_T2Cell01_Nmito288_LES,1,19,0.254632,
TB1_T2Cell01_Nmito289_LES,10,13,0.0489785,
TB1_T2Cell01_Nmito290_LES,14,17,0.0610992,
TB1_T2Cell01_Nmito291_LES,1,4,0.0313598,
